言語ID,メッセージID,メッセージ
"JP","I018","供出・供与伝票の「運送業者名」、「住所」、「電話番号」は手書きで記入してください。"
"JP","I019","既に同一管理票Ｎｏの%1が手配されています。"
"JP","I020","請求金額が保険金上限を超えています。よろしいですか？"
"JP","I021","既に入金金額が入力済の行が存在します。上書きしてよろしいですか？"
"JP","I022","赤伝票と黒伝票を登録します。よろしいですか？"
"JP","I023","受付を取消します。よろしいですか？"
"JP","I024","出力結果：%1件　%2円"
"JP","I025","「%1」に番号[%2]が登録されました。"
"JP","I026","支払を取消します。よろしいですか？"
"JP","I027","請求を取消します。よろしいですか？"
"JP","I028","%1が正常終了しました。"
"JP","I029","赤黒処理を行います。よろしいですか？"
"JP","I030","売渡単価が変更されています。部品単価マスタより、読み直します。"
"JP","I031","「%1」が取得できませんでした。"
"JP","I032","%1チャネルがＦＯです。%2協定書入力を実施してください。"
"JP","I033","ロケーションに什器が残っています。必要があれば処理してください。"
"JP","I034","既に登録済みの%1が存在します。登録しますか？"
"JP","I035","変更できない状態の管理票が含まれているため、行削除のみが行えます。"
"JP","I036","リース期間が未設定のため、保険修理は使用できませんが、よろしいですか？"
"JP","I037","締処理中の支払先です。G2申請部署に確認をしてください。"
"JP","I038","伝票NO[%1]でデータを確定しました。"
"JP","I039","入力した口座番号と明細部に表示されている口座番号が異なっています。明細部に表示されている口座番号で更新しますが、よろしいですか？"
"JP","I040","%1を削除します。よろしいですか？"
"JP","I986","新規通知はありません。"
"JP","I987","只今、本機能は使用できません。"
"JP","I988","保存が完了しました。確認してください。"
"JP","I989","印刷が完了しました。確認してください。"
"JP","I990","処理がキャンセルされました。"
"JP","I991","入力途中のデータは印刷されません。%QR%印刷処理を継続しますか？"
"JP","I992","修正中のデータがあります。画面をクリアしてもよろしいですか？"
"JP","I993","修正中のデータがあります。画面を終了してもよろしいですか？"
"JP","I994","画面を終了します。よろしいですか？"
"JP","I995","画面のクリアを行います。よろしいですか？"
"JP","I996","データの確定を行います。よろしいですか？"
"JP","I997","明細行の削除を行います。よろしいですか？"
"JP","I998","Excelの出力を行います。よろしいですか？"
"JP","I999","印刷を行います。よろしいですか？"
"JP","W001","通知内容が100件以上ありますが、99件まで表示しています。"
"JP","W002","データ件数が%1件を超えました。"
"JP","W003","最大明細件数%1を超えています。表示してもよろしいですか？"
"JP","W004","得意先に紐付くロケーションが存在します。"
"JP","W006","「年内請求書発行区分」が”出力する”の場合、「締日」を99(末締)から変更してよろしいですか？"
"JP","W007","%1と%2が違います。"
"JP","W008","「%1」が%2。よろしいですか？"
"JP","W009","締日が変更されました。協定書入力で支払先の締日を変更して下さい。"
"JP","W010","「%1」が変更されていません。"
"JP","W011","協定書エラーが発生しました。「協定書エラーリスト」を確認して下さい。"
"JP","W012","%1のデータ件数が%2件を超えました。"
"JP","W013","支払中の有償契約がありました。"
"JP","W014","契約情報なしのデータがありました。"
"JP","W015","%1が%2と同一のデータがありました。"
"JP","W016","既にロケーション登録されている直販FOがありました。"
"JP","W017","引落確定日が確定していないデータがありました。"
"JP","W018","リベート支払条件は継承されます。ロケーション登録で「売上報告区分」と「売上報告日」を登録してください。"
"JP","W019","%1が%2。%3してよろしいですか？"
"JP","W020","%1行目の「%2」に入力したコード[%3]は%4で使用されています。"
"JP","W021","%1行目のロケーションは、同条件の支払が存在します。"
"JP","W022","取引条件がありませんでした。「%1」"
"JP","W023","親子計算方法は按分ですが、値引区分に「卸得意先別単価にて設定」が設定されています。「%1」"
"JP","W024","エラーデータが存在しています。確認してください。"
"JP","W025","過去稼働日[%1]の経理日報(直販)が申請されていません。申請を続けますか？"
"JP","W026","更新内容が失われます。よろしいですか？"
"JP","W027","入金予定に対する過不足が発生しています。よろしいですか？"
"JP","W028","移管元部署と移管先部署の部署区分が違います。よろしいですか？"
"JP","W029","データ件数が%1件を超えたため、%2できませんでした。"
"JP","W030","%1の%2が%3されていません。"
"JP","W031","%1が%2、%3を行います。"
"JP","W032","%1[%2]で使用されています。"
"JP","W033","%1が[%2]件あります｡%3してよろしいですか。"
"JP","W034","%1行目のロケーションは、%2の入力値が%3"
"JP","W035","%1行目に、%2が%3"
"JP","W036","%1行目の%2は%3が異なります。"
"JP","W037","%1データがありました。"
"JP","W998","帳票データ取得時の最大件数を超えました。確認してください。"
"JP","W999","帳票出力するデータが1件もありません。確認してください。"
