言語ID,メッセージID,メッセージ
"JP","A993","シェルIDが設定されていません。"
"JP","A994","採番区分2が設定されていません。"
"JP","A995","採番区分1が設定されていません。"
"JP","A996","プログラムIDが設定されていません。"
"JP","A997","ストアドプロシージャ名が設定されていません。"
"JP","A998","設定ファイル内に businessComponentPart セクショングループが存在しないか、または {0} セクションが存在しません。"
"JP","A999","アプリケーションサーバーでエラーが発生しました。"
"JP","BE001","%1 (%2) 更新対象レコードなし %3"
"JP","BE002","%1 (%2) 削除対象レコードなし %3"
"JP","BE003","%1 (%2) マスタに存在しません %3"
"JP","BE004","%1 (%2) 取得エラー %3"
"JP","BE005","%1 異常終了 %2"
"JP","BE006","%1 (%2) と %3 (%4) に不整合があります %5 %6"
"JP","BE007","ファイルオープンエラー %1"
"JP","BE008","ファイル書き込みエラー %1"
"JP","BE009","ファイル読み込みエラー %1"
"JP","BE010","環境変数取得エラー %1"
"JP","BE011","%1 (%2) 登録エラー %3"
"JP","BE012","%1 (%2) 更新エラー %3"
"JP","BE013","%1 (%2) 更新対象レコード 複数件あり %3"
"JP","BE014","%1 (%2) 更新対象レコード 件数不正 %3"
"JP","BE015","%1と%2に不整合があります。得意先CD=%3"
"JP","BE016","明細に紐付くヘッダが存在しません。伝票NO=%1 明細No=%2"
"JP","BE017","商品回収管理と履歴が一致しません。 %1"
"JP","BE018","口座管理マスタに空き口座が存在しません。請求先CD=%1 会社CD=%2"
"JP","BE019","商品回収管理データの更新対象が100件を超えました。得意先CD=%1 伝票NO=%2"
"JP","BE020","%1 (%2) 取得エラー %3 %4"
"JP","BE999","%1"
"JP","BI001","%1 実行開始 %2"
"JP","BI002","%1 正常終了 %2"
"JP","BI003","入力件数 = %1 %2"
"JP","BI004","出力件数 = %1 %2"
"JP","BI005","登録件数 = %1 %2"
"JP","BI006","更新件数 = %1 %2"
"JP","BI007","削除件数 = %1 %2"
"JP","BI008","%1 (%2) 更新対象レコードなし %3"
"JP","BI009","%1 (%2) 削除対象レコードなし %3"
"JP","BI010","%1 (%2) マスタに存在しません %3"
"JP","BI011","%1 (%2) 取得エラー %3"
"JP","BI012","会社コード[%1]の更新開始"
"JP","BI013","%1 更新前 [%2] 更新後 [%3] "
"JP","BI014","納品無し入金が発生しました。 %1"
"JP","BI999","%1"
"JP","BW001","%1 (%2) 更新対象レコードなし %3"
"JP","BW002","%1 (%2) 削除対象レコードなし %3"
"JP","BW003","%1 (%2) マスタに存在しません %3"
"JP","BW004","%1 (%2) 取得エラー %3"
