コンデションID,コンディション名称,項目順序,コンディション項目ID,コンディション値,コンディションラベル,登録担当者,登録日付,更新担当者,更新時間
"COD_LEASE_UMU_KBN01","リース有無区分01","1","ARI","1","有り","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:56:04"
"COD_LEASE_UMU_KBN01","リース有無区分01","2","NASI","0","無し","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:56:04"
"COD_MASTER_SYUBETU_KBN01","マスタ種別区分01","1","KIGYOU_1_GRP","0","企業１グループ","fsol07","2011/02/01 18:48:17","fsol07","2011/02/01 18:48:17"
"COD_MASTER_SYUBETU_KBN01","マスタ種別区分01","2","KIGYOU_1","1","企業１","fsol07","2011/02/01 18:48:17","fsol07","2011/02/01 18:48:17"
"COD_MASTER_SYUBETU_KBN01","マスタ種別区分01","3","KIGYOU_2_GRP","2","企業２グループ","fsol07","2011/02/01 18:48:17","fsol07","2011/02/01 18:48:17"
"COD_MASTER_SYUBETU_KBN01","マスタ種別区分01","4","KIGYOU_2","3","企業２","fsol07","2011/02/01 18:48:17","fsol07","2011/02/01 18:48:17"
"COD_MASTER_SYUBETU_KBN01","マスタ種別区分01","5","HAISOU_SAKI","4","配送先","fsol07","2011/02/01 18:48:17","fsol07","2011/02/01 18:48:17"
"COD_MATCH_ZYOUKEN01","条件式区分01","1","EQUALS","00","＝","wt03","2008/05/20 10:48:28","wt01","2008/07/28 19:44:12"
"COD_MATCH_ZYOUKEN01","条件式区分01","2","NOT_EQUALS","01","≠","wt03","2008/05/20 10:48:28","wt01","2008/07/28 19:44:12"
"COD_MATCH_ZYOUKEN01","条件式区分01","3","LESS_THAN","02","＜","wt03","2008/05/20 10:48:28","wt01","2008/07/28 19:44:12"
"COD_MATCH_ZYOUKEN01","条件式区分01","4","GREATER_THAN","03","＞","wt03","2008/05/20 10:48:28","wt01","2008/07/28 19:44:12"
"COD_MATCH_ZYOUKEN01","条件式区分01","5","LESS_OR_EQUALS","04","≦","wt03","2008/05/20 10:48:28","wt01","2008/07/28 19:44:12"
"COD_MATCH_ZYOUKEN01","条件式区分01","6","GREATER_OR_EQUALS","05","≧","wt03","2008/05/20 10:48:28","wt01","2008/07/28 19:44:12"
"COD_MATCH_ZYOUKEN01","条件式区分01","7","LIKE","06","含む","wt03","2008/05/20 10:48:28","wt01","2008/07/28 19:44:12"
