コンデションID,コンディション名称,項目順序,コンディション項目ID,コンディション値,コンディションラベル,登録担当者,登録日付,更新担当者,更新時間
"COD_HUTAN_KBN02","負担区分02","2","TOKUISAKI","02","得意先","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:25:53"
"COD_HUTAN_KBN02","負担区分02","3","SETTISAKI","06","設置先","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:25:53"
"COD_HUTAN_KBN02","負担区分02","4","SONOTA","07","その他","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:25:53"
"COD_HUTAN_KBN03","負担区分03","1","MAKER","04","メーカー","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:06"
"COD_HUTAN_KBN03","負担区分03","2","GYOUSYA","05","業者","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:06"
"COD_HUTAN_KBN04","負担区分04","1","DYDO","01","ダイドー","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:19"
"COD_HUTAN_KBN04","負担区分04","2","TOKUISAKI","02","得意先","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:19"
"COD_HUTAN_KBN04","負担区分04","3","HOKEN","03","保険","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:19"
"COD_HUTAN_KBN04","負担区分04","4","TORIKESI","09","設置取消","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:19"
"COD_HUTAN_KBN05","負担区分05","1","DYDO","01","ダイドー","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:29"
"COD_HUTAN_KBN05","負担区分05","2","TOKUISAKI","02","得意先","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:29"
"COD_HUTAN_KBN05","負担区分05","3","MAKER","04","メーカー","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:29"
"COD_HUTAN_KBN05","負担区分05","4","GYOUSYA","05","業者","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:29"
