コンデションID,コンディション名称,固定表示位置,固定表示値,固定値標題,備考,登録担当者,登録日付,更新担当者,更新時間
"COD_RENKEI_SYORI_KBN01","連携処理区分01","0","","","","lpa00","2008/07/11 16:13:39","fsol14","2009/12/02 14:57:46"
"COD_RYOHI_SYUBETU01","旅費種別01","0","","","","fsol07","2011/01/26 14:22:19","fsol07","2011/01/26 14:22:19"
"COD_SEIBI_NAIYOU_KBN01","整備内容区分01","0","","","","fsol05","2009/06/12 18:03:12","fsol14","2009/12/02 14:57:59"
"COD_SEIBI_ZYOUKYOU_KBN01","整備状況区分01","1"," ","全て","","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 14:59:05"
"COD_SEIBI_ZYOUKYOU_KBN02","整備状況区分02","1"," ","全て","","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 14:59:29"
"COD_SEIKYU_HAKKOU_KBN01","請求書発行区分01","1"," "," ","","lpa00","2008/07/08 11:25:26","fsol14","2009/12/02 14:59:59"
"COD_SEIKYU_HAKKOU_KBN02","請求書発行区分02","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_SEIKYU_HAKKOU_KBN03","請求書発行区分03","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_SEIKYU_KAKUTEI_KBN01","請求確定区分01","1"," ","全て","大同薬品工業","fsol20","2009/02/09 11:04:06","fsol14","2009/12/02 15:00:08"
"COD_SEIKYU_KAKUTEI_KBN02","請求確定区分02","0","","","大同薬品工業","fsol20","2009/03/24 16:44:05","fsol14","2009/12/02 15:00:17"
"COD_SEIKYU_SIHA_KBN01","請求支払区分01","1"," ","","","lpa01","2008/05/01 19:06:59","fsol14","2009/12/02 15:00:26"
"COD_SEIKYUSYO_KBN01","請求書区分01","1"," ","全て","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:36"
"COD_SEIKYUSYO_KBN02","請求書区分02","1"," ","全て（プレビューなし）","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:45"
"COD_SETTI_HIKIAGE_KBN01","設置引上区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:54"
"COD_SETTI_KBN01","設置区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:02"
"COD_SETTI_KBN02","設置区分02","1"," "," ","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:09"
"COD_SETTI_KBN03","設置区分03","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:18"
"COD_SETTI_KBN04","設置区分04","1"," "," ","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:26"
"COD_SETTI_KBN05","設置区分05","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:10:53"
"COD_SETTI_KBN06","設置区分06","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:01"
"COD_SETTI_KBN07","設置区分07","1"," ","全て","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:49"
"COD_SETTI_KBN08","設置区分08","1"," "," ","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:12:29"
"COD_SETTI_KBN09","設置区分09","0","","","","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 15:12:39"
"COD_SETTI_TEHAI_KBN01","設置手配区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:01:12"
"COD_SETTI_TEHAI_KBN02","設置手配区分02","0","","","","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 15:13:29"
"COD_SETTI_ZYOUKYOU_KBN01","設置状況区分01","1"," ","全て","","fsol05","2009/03/23 20:12:58","fsol05","2010/01/19 15:11:43"
"COD_SETTI_ZYOUKYOU_KBN02","設置状況区分02","1"," ","全て","","fsol05","2009/03/23 20:12:58","fsol05","2010/01/19 15:12:58"
"COD_SHN_HANSOKU_KBN01","商品販促区分01","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_SHN_HANSOKU_KBN02","商品販促区分02","0","","","","fsol10","2011/01/13 16:52:25","fsol10","2011/01/13 16:52:25"
"COD_SIHA_ANNAI_OUT_KBN01","支払案内書出力区分01","1"," ","全て","","sis05","2008/07/04 16:51:34","fsol14","2009/12/02 15:14:00"
"COD_SIHA_ANNAISYO_KBN01","支払案内書送付区分01","1"," "," ","","lpa00","2008/07/08 11:07:05","fsol14","2009/12/02 15:14:17"
"COD_SIHA_CYCLE_KBN01","支払サイクル区分01","1"," "," ","","lpa00","2008/07/08 11:00:58","sis06","2011/02/10 10:54:50"
"COD_SIHA_INFO_KBN01","支払先情報区分01","0","","","","fsol07","2011/02/17 11:44:49","fsol07","2011/02/17 11:44:49"
"COD_SIHA_MEI_SITEI_KBN01","支払明細指定区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:14:41"
"COD_SIHA_PTN01","支払パターン01","0","","","","fsol07","2011/01/26 13:54:50","fsol07","2011/02/24 22:08:19"
"COD_SIHA_SAKI_SYORI_KBN01","支払先処理区分01","0","","","","lpa02","2008/12/19 18:08:06","fsol14","2009/12/02 15:14:50"
"COD_SIHA_TIMING_KBN01","支払タイミング区分01","1"," "," ","","lpa00","2008/07/08 11:28:38","fsol14","2009/12/02 15:14:57"
"COD_SIHA_TIMING_KBN02","支払タイミング区分02","1"," "," ","","fsol07","2011/02/17 11:49:02","fsol07","2011/02/17 11:49:02"
"COD_SIHA_ZYOUKEN_KBN01","支払条件区分01","0","","","","lpa00","2008/07/08 10:53:00","fsol14","2009/12/02 15:15:07"
"COD_SIHA_ZYOUKEN_KBN02","支払条件区分02","0","","","","lpa00","2008/07/08 10:54:25","fsol14","2009/12/02 15:15:23"
"COD_SIHA_ZYOUKEN_KBN03","支払条件区分03","0","","","","fsol07","2011/02/17 11:15:13","fsol07","2011/02/17 11:15:13"
"COD_SIHARAI_STS_KBN01","支払状態区分01","0","","","","lpa00","2011/03/09 15:11:00","lpa00","2011/03/09 15:11:00"
"COD_SIME_KBN01","締区分01","0","","","","sis05","2008/07/10 14:00:43","fsol14","2009/12/02 15:15:32"
"COD_SIME_KIZYUN_KBN01","締基準区分01","0","","","","fsol07","2011/02/01 18:44:16","fsol07","2011/02/01 18:44:16"
"COD_SINSEI_TAISYOU_KBN01","申請対象区分01","0","","","","base08","2008/12/12 17:02:01","fsol14","2009/12/02 15:15:59"
"COD_SINSEI_TAISYOU_KBN02","申請対象区分02","0","","","","sis05","2008/07/10 14:08:55","fsol14","2009/12/02 15:16:15"
"COD_SIRE_KAKAKU_KBN01","仕入価格変更区分01","0","","","","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 15:16:29"
"COD_SITEI_KBN01","指定区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:16:45"
"COD_SOUKATU_KBN01","総括区分01","1"," ","","","lpa00","2008/07/08 10:59:42","fsol14","2009/12/02 15:16:54"
"COD_SOUKATU_KBN02","総括区分02","0","","","","lpa03","2009/02/03 13:51:05","fsol14","2009/12/02 15:17:09"
"COD_STS_TYUSYUTU_KBN01","状態抽出区分01","0","","","","lpa00","2011/03/09 15:10:21","lpa00","2011/03/09 15:10:21"
"COD_SUITOU_IN_KBN01","出納入力区分01","0","","","","lpa03","2011/03/18 19:05:33","lpa03","2011/03/18 19:05:33"
"COD_SYORI_HANI01","処理範囲01","1"," ","全て","","fsol07","2011/02/01 18:39:10","fsol07","2011/02/01 18:39:10"
"COD_SYORI_KBN01","処理区分01","0","","","","fsol07","2008/07/08 15:25:01","fsol14","2009/12/02 15:17:23"
"COD_SYORI_KBN02","処理区分02","0","","","","fsol07","2008/07/08 15:09:18","fsol14","2009/12/02 15:17:33"
"COD_SYORI_KBN03","処理区分03","0","","","","fsol07","2008/07/08 15:09:00","fsol14","2009/12/02 15:18:22"
"COD_SYORI_KBN04","処理区分04","0","","","","fsol07","2008/07/08 15:08:41","fsol14","2009/12/02 15:18:46"
"COD_SYORI_KBN05","処理区分05","0","","","","fsol07","2008/07/08 15:07:53","fsol14","2009/12/02 15:18:53"
"COD_SYORI_KBN06","処理区分06","0","","","","fsol07","2008/07/08 15:07:34","fsol14","2009/12/02 15:19:01"
"COD_SYORI_KBN07","処理区分07","0","","","","fsol07","2008/07/08 15:07:05","fsol14","2009/12/02 15:22:48"
"COD_SYORI_KBN08","処理区分08","0","","","","fsol07","2008/07/08 15:06:42","fsol14","2009/12/02 15:23:44"
"COD_SYORI_KBN09","処理区分09","0","","","","fsol07","2008/07/08 15:06:23","fsol14","2009/12/02 15:24:08"
"COD_SYORI_KBN10","処理区分10","0","","","","fsol07","2008/07/08 15:01:00","fsol14","2009/12/02 15:24:22"
"COD_SYORI_KBN11","処理区分11","0","","","","fsol07","2008/07/08 15:00:39","fsol14","2009/12/02 15:24:30"
"COD_SYORI_KBN12","処理区分12","0","","","","fsol07","2008/07/08 15:00:22","fsol14","2009/12/02 15:24:38"
"COD_SYORI_KBN13","処理区分13","0","","","","fsol07","2008/07/08 14:59:57","fsol14","2009/12/02 15:24:44"
"COD_SYORI_KBN14","処理区分14","0","","","","fsol07","2008/07/08 14:59:37","fsol14","2009/12/02 15:24:50"
"COD_SYORI_KBN15","処理区分15","0","","","","fsol07","2008/07/08 14:59:18","fsol14","2009/12/02 15:25:16"
"COD_SYORI_KBN16","処理区分16","0","","","","fsol03","2008/07/14 10:51:35","fsol14","2009/12/02 15:25:24"
"COD_SYORI_KBN17","処理区分17","0","","","","sis00","2008/07/29 18:46:12","fsol14","2009/12/02 15:25:33"
"COD_SYORI_KBN19","処理区分19","0","","","","lpa02","2008/08/18 18:54:27","fsol14","2009/12/02 15:26:15"
"COD_SYORI_KBN20","処理区分20","0","","","","lpa01","2008/08/19 15:20:54","fsol14","2009/12/02 15:26:22"
"COD_SYORI_KBN21","処理区分21","0","","","","base09","2008/12/09 14:45:43","fsol14","2009/12/02 15:26:29"
"COD_SYORI_KBN22","処理区分22","0","","","","base08","2008/12/11 11:48:24","fsol14","2009/12/02 15:31:12"
"COD_SYORI_KBN23","処理区分23","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:31:20"
"COD_SYORI_KBN24","処理区分24","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:31:27"
"COD_SYORI_KBN25","処理区分25","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/18 21:03:09"
