コンデションID,コンディション名称,固定表示位置,固定表示値,固定値標題,備考,登録担当者,登録日付,更新担当者,更新時間
"COD_TYUSYUTU_ZYOUKEN01","手数料再計算対象抽出条件01","0","","","","base08","2008/12/12 10:45:43","fsol14","2009/12/02 15:37:49"
"COD_UMU_KBN01","有無区分01","1"," "," ","","lpa00","2008/07/08 11:07:59","fsol14","2009/12/02 15:37:55"
"COD_URAGAKI_KBN01","裏書区分01","0","","","","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_URI_HOUKOKU_KBN01","売上報告区分01","0","","","","lpa00","2008/07/08 11:17:27","fsol14","2009/12/02 15:38:01"
"COD_URI_HOUKOKU_KBN02","売上報告区分02","1"," ","","","base03","2009/01/20 11:02:26","fsol14","2009/12/02 15:38:08"
"COD_URI_SYUKEI_KBN01","売上集計区分01","0","","","","lpa01","2008/08/18 20:20:33","fsol14","2009/12/02 15:38:19"
"COD_WF_SINSEI_STS01","ワークフロー申請状態01","0","","","","base01","2008/12/10 10:29:45","fsol14","2009/12/02 15:38:30"
"COD_YAKU_HYOUZI_KBN01","役職表示区分01","0","","","","fsol10","2008/10/23 09:43:30","fsol14","2009/12/02 15:38:41"
"COD_YUSYO_MUSYO_KBN01","有償無償区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:38:47"
"COD_ZANSAI_RENTAL_KBN01","残債レンタル区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:39:34"
"COD_ZIHANKI_KBN01","自販機区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:39:43"
"COD_ZIHANKI_KBN02","自販機区分02","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:39:49"
"COD_ZIHANKI_KBN03","自販機区分03","0","","","","fsol05","2009/05/13 09:57:32","fsol14","2009/12/02 15:39:58"
"COD_ZIKKOU_KBN01","実行区分01","0","","","","lpa00","2008/07/11 15:18:29","fsol14","2009/12/02 15:40:03"
"COD_ZIKO_HUTAN_KBN","事故負担区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:40:09"
"COD_ZIKO_NAIYOU_KBN01","事故内容区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:40:15"
"COD_ZITUKADOU_KBN01","実稼働区分01","0","","","","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:40:21"
"COD_ZITUKADOU_KBN02","実稼働区分02","0","","","","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 15:40:42"
"COD_ZYOUKEN_TEKIYOU_KBN01","流通リベート条件適用区分01","0","","","","fsol07","2011/02/17 11:06:36","fsol07","2011/02/17 11:06:36"
