用語物理名,用語論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"TESURYOU","手数料","","sis02","2008/04/21 10:40:14","sis02","2008/04/21 10:40:14"
"TEURI","手売","","sis02","2008/04/21 10:40:24","sis02","2008/04/21 10:40:24"
"TEZYUN","手順","","sis02","2008/04/21 10:40:33","sis02","2008/04/21 10:40:33"
"THU","木曜","","sis02","2008/04/21 10:40:42","sis02","2008/04/21 10:40:42"
"TIKI","地域","","sis02","2008/04/21 10:40:52","sis02","2008/04/21 10:40:52"
"TIKU","地区","","sis02","2008/04/21 10:41:01","sis02","2008/04/21 10:41:01"
"TIMING","タイミング","","lpa01","2008/06/11 14:54:41","lpa01","2008/06/11 14:54:41"
"TITLE","タイトル","","wt01","2008/06/09 11:03:08","wt01","2008/06/09 11:03:08"
"TM","時間","","sis02","2008/04/21 10:41:11","sis02","2008/04/21 10:41:11"
"TO","ＴＯ","","lpa00","2008/07/10 10:17:33","lpa00","2008/07/10 10:17:33"
"TODOKEDE","届出","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"TODOUHUKEN","都道府県","","sis02","2008/04/21 10:41:24","sis02","2008/04/21 10:41:24"
"TOK","得意先","","sis02","2008/04/21 10:41:41","sis02","2008/04/21 10:41:41"
"TOKHAN","特販","","fsol09","2008/05/01 14:27:53","fsol09","2008/05/01 14:27:53"
"TOKKI","特記","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"TOKUBETU","特別","","sis01","2008/04/23 14:10:18","sis01","2008/04/23 14:10:18"
"TOKUSEI","特性","","sis02","2008/04/21 10:41:50","sis02","2008/04/21 10:41:50"
"TOKUSYU","特殊","","sis02","2008/04/21 10:42:04","sis02","2008/04/21 10:42:04"
"TOKUTEI","特定","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"TOMO","友の会","","sis02","2008/04/21 10:42:28","sis02","2008/04/21 10:42:28"
"TORIATUKAI","取扱","","sis02","2008/04/21 10:42:40","sis02","2008/04/21 10:42:40"
"TORIHIKI","取引","","sis02","2008/04/21 10:42:51","sis02","2008/04/21 10:42:51"
"TORIKAWASI","取交","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"TORIKESI","取消","","sis02","2008/04/21 10:43:02","sis02","2008/04/21 10:43:02"
"TORIKOMI","取込","","fsol05","2008/08/29 13:48:36","fsol05","2008/08/29 13:48:36"
"TORIMODOSI","取戻","","fsol09","2008/07/15 10:18:35","fsol09","2008/07/15 10:18:35"
"TOSOU","塗装","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"TOTAL","トータル","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"TOU","等","","sis05","2008/07/07 15:22:22","sis05","2008/07/07 15:22:22"
"TOUGETU","当月","","sis02","2008/04/21 10:43:12","sis02","2008/04/21 10:43:12"
"TOUITU","統一","","lpa01","2008/04/24 14:51:44","lpa01","2008/04/24 14:51:44"
"TOUKI","当期","","fsol07","2011/01/26 09:22:36","fsol07","2011/01/26 09:22:36"
"TOUROKU","登録","","sis01","2008/04/23 14:16:54","sis01","2008/04/23 14:16:54"
"TOUZA","当座","","sis02","2008/04/21 10:43:21","sis02","2008/04/21 10:43:21"
"TOUZITU","当日","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"TUE","火曜","","sis02","2008/04/21 10:43:31","sis02","2008/04/21 10:43:31"
"TUIKA","追加","","sis01","2008/04/23 14:16:59","sis01","2008/04/23 14:16:59"
"TUKI","月","","sis02","2008/04/21 10:43:46","sis02","2008/04/21 10:43:46"
"TUKISU","月数","","sis02","2008/04/21 10:44:22","sis02","2008/04/21 10:44:22"
"TUMIHOSYOU","積立保証金","","sis01","2008/04/21 12:29:20","sis01","2008/04/21 12:29:20"
"TUMITATE","積立","","sis02","2008/04/21 10:44:33","sis02","2008/04/21 10:44:33"
"TUNEN","通年","","sis02","2008/04/21 10:45:11","sis02","2008/04/21 10:45:11"
"TURISEN","釣銭","","sis02","2008/04/21 10:45:20","sis02","2008/04/21 10:45:20"
"TUSIN","通信","","sis02","2008/04/21 10:45:30","sis02","2008/04/21 10:45:30"
"TUTI","通知","","wt03","2008/05/19 14:19:33","wt03","2008/10/06 11:53:46"
"TUTISYO","通知書","","sis02","2008/07/25 11:12:33","fsol05","2009/01/09 16:39:39"
"TUZYOU","通常","","sis02","2008/04/21 10:45:39","sis02","2008/04/21 10:45:39"
