用語物理名,用語論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"500","５００","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"5000","５０００","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"6","６","","sis01","2008/04/23 14:12:49","sis01","2008/04/23 14:12:49"
"7","７","","sis01","2008/04/23 14:12:54","sis01","2008/04/23 14:12:54"
"8","８","","sis01","2008/04/23 14:12:59","sis01","2008/04/23 14:12:59"
"9","９","","sis01","2008/04/23 14:13:03","sis01","2008/04/23 14:13:03"
"A","Ａ","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"AITE","相手","","sis01","2008/04/21 10:05:15","sis01","2008/04/21 10:05:15"
"AKADEN","赤伝","","sis01","2008/04/21 10:05:33","sis01","2008/04/21 10:05:33"
"AKAKURO","赤黒","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"AKIKAN","空缶","","lpa01","2008/06/11 15:37:55","lpa01","2008/06/11 15:37:55"
"ALL","全","","sis01","2008/04/23 14:13:55","sis01","2008/04/23 14:13:55"
"ANBUN","按分","","fsol12","2011/03/04 18:05:43","fsol12","2011/03/04 18:05:43"
"ANNAISYO","案内書","","sis01","2008/04/21 10:06:38","sis01","2008/04/21 10:06:38"
"ANZEN","安全","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"ATARI","当り","","sis01","2008/04/23 14:17:29","sis01","2008/04/23 14:17:29"
"AZUKARI","預り","","sis01","2008/04/21 10:06:48","sis01","2008/04/21 10:06:48"
"AZUKARIKIN","預り金","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"AZUKEIRE","預入","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"B","Ｂ","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"BACK","背景","","wt02","2008/11/19 14:30:49","wt02","2008/11/19 14:30:49"
"BAIKA","売価","","sis01","2008/04/21 10:06:59","sis01","2008/04/21 10:06:59"
"BARA","バラ","","sis01","2008/04/21 10:07:08","sis01","2008/04/21 10:07:08"
"BASYO","場所","","lpa01","2008/05/13 09:57:09","lpa00","2008/07/08 15:37:28"
"BATCH","バッチ","","fsol10","2008/07/14 21:37:27","wt01","2008/08/28 21:24:19"
"BETTO","別途","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"BETU","別","","sis01","2008/04/23 14:14:32","sis01","2008/04/23 14:14:32"
"BI","日","","sis01","2008/04/21 10:07:16","fsol09","2008/07/18 09:47:43"
"BIHIN","備品","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"BIKOU","備考","","sis01","2008/04/21 10:07:23","sis01","2008/04/21 10:07:23"
"BIRTHDAY","生年月日","","fsol10","2008/07/15 13:43:18","fsol10","2008/07/15 13:43:18"
"BOKIN","募金","","sis01","2008/04/21 10:07:31","sis01","2008/04/21 10:07:31"
"BUHIN","部品","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"BUHINDAI","部品代","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"BUKKEN","物件","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"BUNKATU","分割","","base08","2008/12/08 10:16:43","base08","2008/12/08 10:16:43"
"BUNRUI","分類","","sis01","2008/04/21 10:07:41","sis01","2008/04/21 10:07:41"
"BUSYO","部署","","Administrator","2008/04/17 08:26:20","Administrator","2008/04/17 08:26:20"
"BUTTON","ボタン","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"BUTURI","物理","","wt03","2008/05/20 10:16:32","wt03","2008/05/20 10:16:32"
"BUTURYU","物流","","sis01","2008/04/21 10:08:49","sis01","2008/04/21 10:08:49"
"BUZAI","部材","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"C","Ｃ","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"CALC","計算","","sis01","2008/04/21 10:08:56","sis01","2008/04/21 10:08:56"
"CALENDAR","カレンダ","","fsol09","2008/10/24 20:21:05","fsol09","2008/10/24 20:21:05"
"CALORY","カロリー","","sis01","2008/04/21 10:09:03","sis01","2008/04/21 10:09:03"
"CAN","缶","","sis01","2008/04/21 10:09:10","sis01","2008/04/21 10:09:10"
"CARD","カード","","sis01","2008/04/21 10:09:16","sis01","2008/04/21 10:09:16"
"CATEGORY","カテゴリー","","sis01","2008/04/21 10:09:23","sis01","2008/04/21 10:09:23"
"CD","コード","","Administrator","2008/04/16 18:12:24","Administrator","2008/04/16 18:12:24"
"CENTER","センター","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"CF","ＣＦ","","sis01","2008/04/21 10:09:47","sis01","2008/04/21 10:09:47"
"CHAIN","チェーン","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"CHANNEL","チャネル","","sis01","2008/04/21 10:09:53","sis01","2008/04/21 10:09:53"
"CHECK","チェック","","sis01","2008/04/21 10:10:01","sis01","2008/04/21 10:10:01"
"CLAIM","クレーム","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"CLIENT","クライアント","","lpa02","2008/08/20 15:41:36","lpa02","2008/08/20 15:41:36"
"CNTL","コントロール","拡張コントロール用","fsol09","2008/10/27 10:13:15","fsol09","2008/10/27 10:13:15"
"COLD","ＣＯＬＤ","","sis01","2008/04/23 14:14:08","sis01","2008/04/23 14:14:08"
"COLM","コラム","","sis01","2008/04/21 10:10:07","sis01","2008/04/21 10:10:07"
"COLOR","色","","wt02","2008/11/19 14:31:34","wt02","2008/11/19 14:31:34"
"COMMENT","コメント","","wt03","2008/05/19 10:42:55","wt03","2008/05/19 10:42:55"
"COMP","比較","","lpa01","2008/06/24 14:09:01","lpa01","2008/06/24 14:09:01"
"COPY","コピー","","lpa01","2008/08/19 13:04:35","lpa01","2008/08/19 13:04:35"
"COUNTER","カウンター","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"CS","ケース","","sis01","2008/04/21 10:10:13","sis01","2008/04/21 10:10:13"
"CSV","CSV","","wt01","2008/06/23 11:58:59","wt01","2008/06/23 11:58:59"
"CUR","現在","","sis01","2008/04/21 10:10:20","sis01","2008/04/21 10:10:20"
"CYCLE","サイクル","","sis01","2008/04/23 14:13:31","sis01","2008/04/23 14:13:31"
"D","Ｄ","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"DAIHYOU","代表","","sis01","2008/04/21 10:10:27","sis01","2008/04/21 10:10:27"
"DAIKIN","代金","","sis01","2008/04/21 10:10:32","sis01","2008/04/21 10:10:32"
"DAIKOU","代行","","sis01","2008/04/21 10:10:37","sis01","2008/04/21 10:10:37"
"DAILY","日次","","sis01","2008/04/21 10:47:23","sis01","2008/04/21 10:47:23"
"DAISU","台数","","sis01","2008/04/21 10:10:46","sis01","2008/04/21 10:10:46"
"DAITAI","代替","","sis01","2008/04/21 10:10:54","sis01","2008/04/21 10:10:54"
"DAITYOU","台帳","","sis01","2008/04/21 10:11:00","sis01","2008/04/21 10:11:00"
"DANTAI","団体","","lpa01","2008/06/02 09:47:30","lpa01","2008/06/02 09:47:30"
"DATA","データ","","sis05","2008/07/07 14:55:15","sis05","2008/07/07 14:55:15"
"DATARI","台当り","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"DEFAULT","デフォルト","","fsol09","2008/11/04 18:07:10","fsol09","2008/11/04 18:07:10"
"DEL","削除","","sis01","2008/04/21 10:11:05","sis01","2008/04/21 10:11:05"
"DENKI","電気","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"DENKIDAI","電気代","","lpa01","2008/06/11 14:54:07","lpa01","2008/06/11 14:54:07"
"DENKIRYOU","電気料","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"DENPYOU","伝票","","sis01","2008/04/21 10:11:11","sis01","2008/04/21 10:11:11"
"DENRYOKU","電力","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"DENSI","電子","","lpa01","2008/08/18 17:40:26","lpa01","2008/08/18 17:40:26"
"DEPO","デポ","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"DL","ダウンロード","","sis01","2008/04/21 10:11:16","sis01","2008/04/21 10:11:16"
"DOUNYU","導入","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"DT","日時","","sis01","2008/04/21 10:11:21","sis01","2008/04/21 10:11:21"
"DUMMY","ダミー","","wt01","2008/06/20 16:57:33","wt01","2008/06/20 16:57:33"
"DYDO","ダイドー","","sis01","2008/04/21 10:11:37","sis01","2008/04/21 10:11:37"
"DYDO","ＤｙＤｏ","","lpa04","2009/10/06 14:15:09","lpa04","2009/10/06 14:15:09"
"E","Ｅ","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"EDABAN","枝番","","sis02","2008/06/30 17:18:53","sis02","2008/06/30 17:18:53"
"EDI","ＥＤＩ","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"EIGYOU","営業","","sis01","2008/04/21 10:11:42","sis01","2008/04/21 10:11:42"
"EIGYOUKEN","営業権","","lpa01","2008/08/26 09:59:14","lpa01","2008/08/26 09:59:14"
"EIGYOUSYO","営業所","","sis01","2008/04/25 12:32:46","sis01","2008/04/25 12:32:46"
"END","終了","","sis01","2008/04/21 10:11:48","sis01","2008/04/21 10:11:48"
"ENZYO","援助","","sis01","2008/04/21 10:11:53","sis01","2008/04/21 10:11:53"
"ERR","エラー","","sis05","2008/07/04 14:52:38","sis05","2008/07/04 14:52:38"
"ETC","その他","","sis01","2008/04/21 10:11:58","sis01","2008/04/21 10:11:58"
"EXT","拡張","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"F","Ｆ","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"FAX","ＦＡＸ","","sis01","2008/04/21 10:12:16","sis01","2008/04/21 10:12:16"
"FIELD","フィールド","","wt03","2008/05/20 10:24:45","wt03","2008/05/20 10:24:45"
"FILENAME","ファイル名","","fsol09","2008/05/20 13:52:45","fsol09","2008/05/20 13:52:45"
"FILEPATH","ファイルパス","","fsol10","2008/12/09 10:31:22","fsol10","2008/12/09 10:31:22"
"FIRST","初回","","sis02","2008/04/21 10:32:00","fsol09","2009/02/06 14:33:34"
"FJ","Ｆｊ","","lpa04","2009/10/06 14:14:43","lpa04","2009/10/06 14:14:43"
"FLON","フロン","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"FO","フルオペ","","sis01","2008/04/21 10:12:21","sis01","2008/04/21 10:12:21"
"FOLLOW","フォロー","","sis01","2008/04/21 10:12:26","sis01","2008/04/21 10:12:26"
"FRI","金曜","","sis01","2008/04/21 10:12:43","sis01","2008/04/21 10:12:43"
"FROM","ＦＲＯＭ","","lpa00","2008/07/10 10:17:25","lpa00","2008/07/10 10:17:25"
"FTR","未来","","sis01","2008/04/21 10:12:50","sis01","2008/04/21 10:12:50"
"G","Ｇ","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"G1","G1","","base08","2008/12/05 14:51:48","base08","2008/12/05 14:51:48"
"G2","G2","","base08","2008/12/05 14:52:00","base08","2008/12/05 14:52:00"
"GAI","外","","sis05","2008/07/04 17:19:27","sis05","2008/07/04 17:19:27"
"GAKU","額","","lpa01","2008/08/18 19:09:41","lpa01","2008/08/18 19:09:41"
"GAKUMEN","額面","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"GAMEN","画面","","sis01","2008/04/21 10:12:56","sis01","2008/04/21 10:12:56"
"GASSAN","合算","","sis01","2008/04/23 14:15:39","sis01","2008/04/23 14:15:39"
"GATARI","ｇ当り","","sis01","2008/04/23 14:15:10","sis01","2008/04/23 14:15:10"
"GATUKI","月期","","lpa00","2008/07/10 11:10:49","lpa00","2008/07/10 11:10:49"
"GEKKAN","月間","","sis01","2008/04/23 14:10:36","sis01","2008/04/23 14:10:36"
"GENERAL","汎用","","fsol09","2008/06/10 08:55:03","fsol09","2008/06/19 16:43:26"
"GENGAKU","減額","","sis01","2008/04/21 10:13:01","sis01","2008/04/21 10:13:01"
"GENIN","原因","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"GENKA","原価","","sis01","2008/04/21 10:13:06","sis01","2008/04/21 10:13:06"
"GENKIN","現金","","sis01","2008/04/21 10:13:18","sis01","2008/04/21 10:13:18"
"GENTI","現地","","fsol10","2008/07/16 10:56:46","fsol10","2008/07/16 10:56:46"
"GENZAITI","現在地","","sis02","2008/07/23 15:17:32","sis02","2008/07/23 15:17:32"
"GESSYO","月初","大同薬品工業","fsol20","2009/02/09 14:03:22","fsol20","2009/02/09 14:03:22"
"GET","取得","","fsol05","2009/04/13 16:24:58","fsol05","2009/04/13 16:24:58"
"GETUDO","月度","","sis01","2008/04/21 10:13:23","sis01","2008/04/21 10:13:23"
"GETUGAKU","月額","","sis01","2008/04/21 10:24:29","sis01","2008/04/23 15:13:20"
"GETUMATU","月末","大同薬品工業","fsol20","2009/02/09 14:03:59","fsol20","2009/02/09 14:03:59"
"GINKOU","銀行","","sis01","2008/04/21 10:13:28","sis01","2008/04/21 10:13:28"
"GO","後","","sis05","2008/07/07 15:04:46","sis05","2008/07/07 15:04:46"
"GOSA","誤差","","sis01","2008/04/21 10:13:33","sis01","2008/04/21 10:13:33"
"GOUKEI","合計","","sis01","2008/04/23 14:10:56","sis01","2008/04/23 14:10:56"
"GRP","グループ","","sis01","2008/04/21 10:13:39","sis01","2008/04/21 10:13:39"
"GUN","群","","sis01","2008/04/23 14:14:26","sis01","2008/04/23 14:14:26"
"GYOU","行","","sis05","2008/07/07 15:33:40","sis05","2008/07/07 15:33:40"
"GYOUMU","業務","","lpa01","2008/04/24 15:32:35","lpa01","2008/04/24 15:32:35"
"GYOUSYA","業者","","sis01","2008/04/21 10:13:44","sis01","2008/04/21 10:13:44"
"GYOUSYU","業種","","sis01","2008/04/21 10:13:49","sis01","2008/04/21 10:13:49"
"GYOUTAI","業態","","sis01","2008/04/21 10:13:54","sis01","2008/04/21 10:13:54"
"HABA","幅","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"HAIHU","配賦","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"HAIKI","廃棄","","sis01","2008/04/21 10:14:00","sis01","2008/04/21 10:14:00"
"HAIKIN","配金","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"HAIMEN","背面","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"HAISI","廃止","","sis01","2008/04/23 14:15:22","sis01","2008/04/23 14:15:22"
"HAISOU","配送","","sis01","2008/04/21 10:14:05","sis01","2008/04/21 10:14:05"
"HAITA","排他","","wt03","2008/05/20 10:55:57","wt03","2008/05/20 10:55:57"
"HAIZOKU","配属","","sis01","2008/04/21 10:14:17","sis01","2008/04/21 10:14:17"
"HAKKOU","発行","","sis01","2008/04/21 10:14:23","sis01","2008/04/21 10:14:23"
"HANBAI","販売","","sis01","2008/04/21 10:14:28","sis01","2008/04/21 10:14:28"
"HANEI","反映","","sis05","2008/07/04 10:26:36","sis05","2008/07/04 10:26:36"
"HANI","範囲","","lpa00","2008/07/10 10:59:41","lpa00","2008/07/10 10:59:41"
"HANSOKU","販促","","sis01","2008/04/21 10:14:35","sis01","2008/04/21 10:14:35"
"HANSU","版数","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"HANSYA","販社","","sis01","2008/04/21 10:14:40","sis01","2008/04/21 10:14:40"
"HANTEI","判定","","lpa02","2008/08/21 11:13:27","lpa02","2008/08/21 11:13:27"
"HARITUKE","貼付","","sis01","2008/04/21 10:14:46","sis01","2008/04/21 10:14:46"
"HASAN","破産","","sis01","2008/04/21 10:14:51","sis01","2008/04/21 10:14:51"
"HASEI","派生","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"HASON","破損","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"HASSEI","発生","","base01","2008/11/19 10:29:44","base01","2008/11/19 10:29:44"
"HASSOU","発送","","sis01","2008/04/23 14:15:59","sis01","2008/04/23 14:15:59"
"HASU","端数","","sis01","2008/04/21 10:14:59","sis01","2008/04/21 10:14:59"
"HATARI","本当り","","sis01","2008/04/21 10:15:06","sis01","2008/04/21 10:15:06"
"HATTYU","発注","","sis01","2008/04/21 10:15:13","sis01","2008/04/21 10:15:13"
"HATUBAI","発売","","sis01","2008/04/21 10:15:20","sis01","2008/04/21 10:15:20"
"HC","ＨＣ","","sis01","2008/04/23 14:13:24","sis01","2008/04/23 14:13:24"
"HENDOU","変動","","sis01","2008/04/21 10:15:26","sis01","2008/04/21 10:15:26"
"HENKIN","返金","","fsol10","2010/12/09 19:16:33","fsol10","2010/12/09 19:16:33"
"HENKOU","変更","","sis01","2008/04/21 10:15:32","sis01","2008/04/21 10:15:32"
"HENKOUKA","変更可","","sis05","2008/07/04 18:21:14","sis05","2008/07/04 18:21:14"
"HENKYAKU","返却","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"HENPIN","返品","","sis01","2008/04/21 10:15:39","sis01","2008/04/21 10:15:39"
"HIBETU","日別","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"HIDUKE","日付","","fsol03","2008/04/17 12:59:28","sis01","2008/04/23 14:22:35"
"HIHYOUZI","非表示","","fsol10","2008/07/16 14:04:53","fsol10","2008/07/16 14:07:14"
"HIKADOU","非稼働","","sis01","2008/04/22 11:20:28","sis01","2008/04/22 11:20:28"
"HIKARI","光","","sis01","2008/04/21 10:15:49","sis01","2008/04/21 10:15:49"
"HIKAZEI","非課税","","sis01","2008/04/21 10:15:54","sis01","2008/04/21 10:15:54"
"HIKETU","否決","","sis01","2008/04/21 10:16:00","sis01","2008/04/21 10:16:00"
"HIKIAGE","引上","","sis01","2008/04/21 10:16:06","sis01","2008/04/21 10:16:06"
"HIKIAGEKI","引上機","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"HIKIGO","引後","","sis02","2008/07/01 10:50:07","sis02","2008/07/01 10:50:07"
"HIKIOTOSI","引落","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"HIKITORI","引取","","sis01","2008/04/23 14:15:28","sis01","2008/04/23 14:15:28"
"HIKIUKE","引受","","sis01","2008/04/21 10:16:12","sis01","2008/04/21 10:16:12"
"HIKIWATASI","引渡","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"HIKOUKAI","非公開","","lpa01","2008/06/11 15:58:22","lpa01","2008/06/11 15:58:22"
"HIMOKU","費目","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"HINBAN","品番","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"HINMOKU","品目","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"HIRITU","比率","","fsol05","2009/04/09 21:41:46","fsol05","2009/04/09 21:41:46"
"HIS","履歴","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"HISSU","必須","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"HIYOU","費用","","lpa01","2008/06/11 15:38:16","lpa01","2008/06/11 15:38:16"
"HMS","時分秒","","wt01","2008/06/09 14:42:29","wt01","2008/06/09 14:42:29"
"HOKAN","保管","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"HOKEN","保険","","sis01","2008/04/21 10:16:32","sis01","2008/04/21 10:16:32"
"HOKURIKU","北陸","","fsol05","2009/04/14 09:50:46","fsol05","2009/04/14 09:50:46"
"HON","本","","sis01","2008/04/21 10:16:50","sis01","2008/04/21 10:16:50"
"HONSU","本数","","sis01","2008/04/21 10:16:56","sis01","2008/04/21 10:16:56"
"HONSYA","本社","","sis01","2008/04/21 10:17:04","sis01","2008/04/21 10:17:04"
"HONTAI","本体","","sis01","2008/04/21 10:17:45","sis01","2008/04/21 10:17:45"
"HORYU","保留","","sis01","2008/04/21 10:17:55","sis01","2008/04/21 10:17:55"
"HOSOKU","補足","","lpa01","2008/05/13 11:03:26","lpa01","2008/05/13 11:03:26"
"HOST","ＨＯＳＴ","","lpa04","2009/10/06 14:27:35","lpa04","2009/10/06 14:27:35"
"HOSYOUKIN","保証金","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"HOSYOUNIN","保証人","","sis01","2008/04/21 10:16:17","sis02","2008/04/24 16:26:39"
"HOT","ＨＯＴ","","sis01","2008/04/23 14:14:02","sis01","2008/04/23 14:14:02"
"HOUHOU","方法","","sis01","2008/04/21 10:18:02","sis01","2008/04/21 10:18:02"
"HOUKOKU","報告","","sis01","2008/04/21 10:18:07","sis01","2008/04/21 10:18:07"
"HOUKOKUSYO","報告書","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"HOUMON","訪問","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"HOZON","保存","","fsol00","2008/08/21 20:08:54","fsol00","2008/08/21 20:08:54"
"HOZYO","補助","","sis01","2008/04/21 10:18:13","sis01","2008/04/21 10:18:13"
"HOZYOBO","補助簿","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"HOZYU","補充","","sis01","2008/04/23 14:13:18","sis01","2008/04/23 14:13:18"
"HSKDAI","販促代","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"HSKIN","販売奨励金","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"HT","ＨＴ","","sis01","2008/04/21 10:18:19","sis01","2008/04/21 10:18:19"
"HUITTI","不一致","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"HUKU","副","","fsol05","2009/04/14 09:58:33","fsol05","2009/04/14 09:58:33"
"HUNOU","不能","","sis01","2008/04/21 10:18:24","sis01","2008/04/21 10:18:24"
"HURIDASI","振出","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"HURIKAE","振替","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"HURIKOMI","振込","","sis01","2008/04/21 10:18:31","sis01","2008/04/21 10:18:31"
"HURIWAKE","振分","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"HUTAI","付帯","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"HUTAN","負担","","sis01","2008/04/21 10:18:37","sis01","2008/04/21 10:18:37"
"HUTU","普通","","sis01","2008/04/21 10:18:46","sis01","2008/04/21 10:18:46"
"HUWATARI","不渡","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"HUYOU","不要","","sis01","2008/04/21 10:18:53","sis01","2008/04/21 10:18:53"
"HYOU","票","","sis01","2008/04/21 10:18:58","sis01","2008/04/21 10:18:58"
"HYOUDAI","標題","","fsol05","2009/04/03 17:19:55","fsol05","2009/04/03 17:19:55"
"HYOUZI","表示","","sis01","2008/04/21 10:19:04","sis01","2008/04/21 10:19:04"
"HYOUZIZYUN","表示順","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"HYOUZYUN","標準","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"ID","ＩＤ","","sis01","2008/04/21 10:19:10","sis01","2008/04/21 10:19:10"
"IDOU","移動","","sis01","2008/04/21 10:19:16","sis01","2008/04/21 10:19:16"
"IGAI","以外","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"IKAN","移管","","fsol10","2008/11/26 13:46:50","fsol10","2008/11/26 13:46:50"
"IKANSAKI","移管先","","base08","2008/12/05 13:41:54","base08","2008/12/05 13:41:54"
"IKKATU","一括","","sis01","2008/04/21 10:19:21","sis01","2008/04/21 10:19:21"
"IN","入力","","sis01","2008/04/21 10:19:26","sis01","2008/04/21 10:19:26"
"IN","イン","","lpa01","2008/06/24 13:13:55","lpa01","2008/06/24 13:13:55"
"INFO","情報","","sis01","2008/04/21 10:19:31","sis01","2008/04/21 10:19:31"
"INVOICE","インボイス","","fsol07","2011/02/09 19:25:00","fsol07","2011/02/09 19:25:00"
"INZI","印字","","fsol10","2008/06/03 17:04:34","fsol10","2008/07/16 14:53:48"
"IP","ＩＰ","","lpa02","2008/08/20 15:42:17","lpa02","2008/08/20 15:42:17"
"IPPAN","一般","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"IRAI","依頼","","sis01","2008/04/21 10:19:41","sis01","2008/04/21 10:19:41"
"IRAININ","依頼人","","base01","2008/12/12 14:37:32","base01","2008/12/12 14:37:32"
"IRAISYO","依頼書","","sis01","2008/04/21 10:19:46","sis01","2008/04/21 10:19:46"
"IRISU","入数","","sis01","2008/04/21 10:19:51","sis01","2008/04/21 10:19:51"
"ITEM","アイテム","","sis01","2008/04/21 10:19:55","sis01","2008/04/21 10:19:55"
"ITEM","項目","","lpa01","2008/04/24 14:53:55","lpa01","2008/04/24 14:53:55"
"ITF","ＩＴＦ","","sis01","2008/04/21 10:20:00","sis01","2008/04/21 10:20:00"
"ITI","位置","","sis01","2008/04/21 10:20:07","sis01","2008/04/21 10:20:07"
"ITINENTYO","一年超","","base01","2008/11/14 11:02:24","base00","2009/01/09 20:41:03"
"ITIRAN","一覧","","sis01","2008/04/21 10:20:12","sis01","2008/04/21 10:20:12"
"ITIZI","一時","","sis01","2008/04/21 10:20:19","sis01","2008/04/21 10:20:19"
"IYAKUKIN","違約金","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"IZYOU","異常","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"JA","日本語","","wt03","2008/05/20 10:00:24","wt03","2008/05/20 10:00:24"
"JAN","ＪＡＮ","","sis01","2008/04/21 10:20:33","sis01","2008/04/21 10:20:33"
"JVMA","ＪＶＭＡ","","sis01","2008/04/21 10:20:46","sis01","2008/04/21 10:20:46"
"JWNET","ＪＷＮＥＴ","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"K","Ｋ","","sis02","2008/06/30 15:33:06","sis02","2008/06/30 15:33:06"
"KA","可","","sis05","2008/07/04 10:34:19","sis05","2008/07/04 10:34:19"
"KABUSOKU","過不足","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"KADOU","稼働","","sis01","2008/04/22 11:19:48","sis01","2008/04/22 11:19:48"
"KADOUBI","稼働日","","fsol10","2008/07/14 20:51:57","fsol10","2008/07/14 20:51:57"
"KAGEN","下限","","sis01","2008/04/21 10:21:02","sis01","2008/04/21 10:21:02"
"KAGI","カギ","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"KAI","下位","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"KAIGAI","海外","","sis01","2008/04/21 10:21:08","sis01","2008/04/21 10:21:08"
"KAIHI","会費","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"KAIHOUIKI","開放域","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"KAIIN","会員","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"KAIKEI","会計","","sis01","2008/04/21 10:21:14","sis01","2008/04/21 10:21:14"
